@relation categorized_units_sold_final

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute rating_five_proportion numeric
@attribute rating_four_proportion numeric
@attribute rating_three_proportion numeric
@attribute rating_two_proportion numeric
@attribute rating_one_proportion numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
16,14,0,3.76,0,0,0,0,50,4,0,34,50,568,4.128521,0,3,17.6,60,0.481481,0.148148,0.185185,0.018519,0.166667,Slow
8,22,1,3.45,0,0,0,0,50,2,0,41,50,17752,3.899673,0,1,8.8,24,0.369845,0.1674,0.182233,0.104971,0.17555,Hot
8,43,0,3.57,0,0,0,0,1,3,0,36,50,295,3.989831,0,1,8.8,37,0.357143,0.285714,0.142857,0,0.214286,Slow
8,8,1,4.03,0,0,0,0,50,2,0,41,50,23832,4.020435,0,3,8.8,4,0.509499,0.205527,0.150259,0.072539,0.062176,Stable
2.72,3,1,3.1,0,0,0,0,1,1,0,35,50,14482,4.001588,0,2,2.992,69,0.3,0.2,0.1,0.1,0.3,Slow
3.92,9,0,5,0,0,0,0,1,1,0,40,50,65,3.507692,0,8,4.312,39,1,0,0,0,0,Slow
7,6,0,3.84,0,0,0,0,50,2,0,31,50,10194,4.076516,1,1,7.7,60,0.470484,0.200534,0.144023,0.072679,0.112281,Hot
12,11,0,3.76,0,0,0,0,50,3,0,139,50,342,3.681287,0,8,13.2,11,0.41958,0.195804,0.213287,0.062937,0.108392,Stable
11,84,1,3.47,0,0,0,0,50,2,0,36,50,330,3.80303,0,3,12.1,4,0.4,0.133333,0.2,0.066667,0.2,Slow
5.78,22,0,3.6,0,0,0,0,50,2,0,33,50,5534,3.999819,0,2,6.358,3,0.417758,0.186317,0.133916,0.098981,0.163028,Stable
5.79,5,0,3.46,0,0,0,0,2,2,0,25,50,9470,3.956811,0,8,6.369,25,0.399674,0.164763,0.132137,0.099511,0.203915,Stable
6,8,1,3.31,0,0,0,0,2,2,0,40,50,3515,3.983784,0,1,6.6,29,0.230769,0.307692,0.230769,0,0.230769,Slow
1.91,6,1,3.45,0,0,0,0,1,1,0,38,50,557,4.123878,0,1,2.101,43,0.347518,0.205674,0.170213,0.099291,0.177305,Stable
5.79,42,0,3.32,0,0,0,0,50,2,0,43,50,5083,3.947472,0,2,6.369,53,0.297521,0.198347,0.190083,0.157025,0.157025,Stable
2,2,1,3.65,0,0,0,0,1,1,0,36,50,55499,4.138885,0,2,2.2,69,0.400488,0.195767,0.186813,0.083842,0.133089,Hot
11,81,0,3.92,0,0,0,0,50,3,0,41,50,39381,4.066326,0,2,12.1,4,0.478873,0.220657,0.14554,0.049296,0.105634,Stable
