@relation full_data

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
16,14,0,3.76,54,26,8,10,1,9,0,0,0,0,50,4,0,34,50,568,4.128521,0,3,17.6,60,Slow
8,22,1,3.45,6135,2269,1027,1118,644,1077,0,0,0,0,50,2,0,41,50,17752,3.899673,0,1,8.8,24,Hot
8,43,0,3.57,14,5,4,2,0,3,0,0,0,0,1,3,0,36,50,295,3.989831,0,1,8.8,37,Slow
8,8,1,4.03,579,295,119,87,42,36,0,0,0,0,50,2,0,41,50,23832,4.020435,0,3,8.8,4,Stable
2.72,3,1,3.1,20,6,4,2,2,6,0,0,0,0,1,1,0,35,50,14482,4.001588,0,2,2.992,69,Slow
3.92,9,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,40,50,65,3.507692,0,8,4.312,39,Slow
7,6,0,3.84,6742,3172,1352,971,490,757,0,0,0,0,50,2,0,31,50,10194,4.076516,1,1,7.7,60,Hot
12,11,0,3.76,286,120,56,61,18,31,0,0,0,0,50,3,0,139,50,342,3.681287,0,8,13.2,11,Stable
11,84,1,3.47,15,6,2,3,1,3,0,0,0,0,50,2,0,36,50,330,3.80303,0,3,12.1,4,Slow
5.78,22,0,3.6,687,287,128,92,68,112,0,0,0,0,50,2,0,33,50,5534,3.999819,0,2,6.358,3,Stable
5.79,5,0,3.46,613,245,101,81,61,125,0,0,0,0,2,2,0,25,50,9470,3.956811,0,8,6.369,25,Stable
6,8,1,3.31,13,3,4,3,0,3,0,0,0,0,2,2,0,40,50,3515,3.983784,0,1,6.6,29,Slow
1.91,6,1,3.45,141,49,29,24,14,25,0,0,0,0,1,1,0,38,50,557,4.123878,0,1,2.101,43,Stable
5.79,42,0,3.32,121,36,24,23,19,19,0,0,0,0,50,2,0,43,50,5083,3.947472,0,2,6.369,53,Stable
2,2,1,3.65,2457,984,481,459,206,327,0,0,0,0,1,1,0,36,50,55499,4.138885,0,2,2.2,69,Hot
11,81,0,3.92,426,204,94,62,21,45,0,0,0,0,50,3,0,41,50,39381,4.066326,0,2,12.1,4,Stable
11,10,0,3.72,2058,840,435,386,158,239,0,0,0,0,50,2,0,34,50,6302,3.958426,0,4,12.1,53,Hot
5,25,1,3.83,17980,8290,3483,2951,1410,1846,0,0,0,0,50,1,0,41,50,139223,3.933581,0,2,5.5,60,Hot
9,9,0,3.82,5479,2456,1162,853,431,577,0,0,0,0,50,3,0,43,50,22089,4.081624,0,2,9.9,11,Hot
7,7,0,3.67,214,87,36,49,17,25,0,0,0,0,7,2,0,41,50,3592,4.062361,0,2,7.7,53,Stable
11,10,0,3.84,1183,506,274,216,81,106,0,0,0,0,50,3,0,69,50,23609,4.256597,0,2,12.1,24,Stable
5,6,0,3.6,3552,1437,632,610,358,515,0,0,0,0,11,2,0,41,50,12913,3.981337,1,2,5.5,4,Hot
11,26,0,3.38,72,27,11,11,8,15,0,0,0,0,2,2,0,51,50,4516,4.231842,0,2,12.1,2,Stable
7,6,1,3.67,510,213,98,85,45,69,0,0,0,0,50,2,0,138,50,96838,4.264659,0,3,7.7,2,Stable
5.71,5,0,3.75,678,290,145,104,61,78,0,0,0,0,19,2,0,43,50,80093,4.006692,0,8,6.281,4,Stable
9,32,0,4.15,567,323,116,58,28,42,0,0,0,0,50,3,0,41,50,9395,4.110059,0,3,9.9,2,Stable
9,9,0,4.03,216,105,48,39,12,12,0,0,0,0,5,3,0,60,50,4298,4.229409,0,3,9.9,58,Stable
5.65,5,0,4.29,2996,1781,628,374,104,109,1,0,1,0,50,2,0,43,50,40943,4.017488,0,2,6.215,60,Hot
1.74,2,1,4.25,12,7,3,1,0,1,0,0,0,0,50,1,0,41,50,18138,3.831514,0,1,1.914,46,Slow
5.65,6,0,4.06,301,156,70,34,18,23,0,0,0,0,50,2,0,54,50,7034,4.060279,0,6,6.215,60,Stable
14,76,0,4.06,31,17,4,6,3,1,0,0,0,0,50,4,0,36,50,51369,3.968269,1,2,15.4,58,Slow
5.65,6,1,4.37,217,137,42,24,9,5,1,0,1,0,10,2,0,38,50,44837,4.065905,0,8,6.215,4,Stable
8,7,0,3.81,443,215,76,65,29,58,0,0,0,0,4,2,0,46,50,3460,3.870809,0,2,8.8,3,Stable
