price,retail_price,uses_ad_boosts,rating,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,product_variation_inventory,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,merchant_rating,merchant_has_profile_picture,size_encoded,price_converted,color_encoded,units_sold_categories
16,14,0,3.76,0,0,0,0,50,4,0,34,50,4.128521126760563,0,3,17.6,60,Slow
8,22,1,3.45,0,0,0,0,50,2,0,41,50,3.8996732762505633,0,1,8.8,24,Hot
8,43,0,3.57,0,0,0,0,1,3,0,36,50,3.989830508474576,0,1,8.8,37,Slow
8,8,1,4.03,0,0,0,0,50,2,0,41,50,4.020434709634105,0,3,8.8,4,Stable
2.72,3,1,3.1,0,0,0,0,1,1,0,35,50,4.001588178428394,0,2,2.9920000000000004,69,Slow
3.92,9,0,5,0,0,0,0,1,1,0,40,50,3.507692307692308,0,8,4.312,39,Slow
7,6,0,3.84,0,0,0,0,50,2,0,31,50,4.076515597410241,1,1,7.700000000000001,60,Hot
12,11,0,3.76,0,0,0,0,50,3,0,139,50,3.681286549707602,0,8,13.2,11,Stable
11,84,1,3.47,0,0,0,0,50,2,0,36,50,3.803030303030303,0,3,12.1,4,Slow
5.78,22,0,3.6,0,0,0,0,50,2,0,33,50,3.999819298879653,0,2,6.3580000000000005,3,Stable
5.79,5,0,3.46,0,0,0,0,2,2,0,25,50,3.9568109820485744,0,8,6.369000000000001,25,Stable
6,8,1,3.31,0,0,0,0,2,2,0,40,50,3.983783783783784,0,1,6.6000000000000005,29,Slow
1.91,6,1,3.45,0,0,0,0,1,1,0,38,50,4.123877917414721,0,1,2.101,43,Stable
5.79,42,0,3.32,0,0,0,0,50,2,0,43,50,3.9474719653747785,0,2,6.369000000000001,53,Stable
2,2,1,3.65,0,0,0,0,1,1,0,36,50,4.138885385322258,0,2,2.2,69,Hot
11,81,0,3.92,0,0,0,0,50,3,0,41,50,4.066326401056347,0,2,12.1,4,Stable
11,10,0,3.72,0,0,0,0,50,2,0,34,50,3.958425896540781,0,4,12.1,53,Hot
5,25,1,3.83,0,0,0,0,50,1,0,41,50,3.933581376640354,0,2,5.5,60,Hot
9,9,0,3.82,0,0,0,0,50,3,0,43,50,4.081624337905745,0,2,9.9,11,Hot
7,7,0,3.67,0,0,0,0,7,2,0,41,50,4.062360801781737,0,2,7.700000000000001,53,Stable
11,10,0,3.84,0,0,0,0,50,3,0,69,50,4.256597060443052,0,2,12.1,24,Stable
5,6,0,3.6,0,0,0,0,11,2,0,41,50,3.981336637497096,1,2,5.5,4,Hot
11,26,0,3.38,0,0,0,0,2,2,0,51,50,4.231842338352524,0,2,12.1,2,Stable
7,6,1,3.67,0,0,0,0,50,2,0,138,50,4.264658501827795,0,3,7.700000000000001,2,Stable
5.71,5,0,3.75,0,0,0,0,19,2,0,43,50,4.006692220293909,0,8,6.281000000000001,4,Stable
9,32,0,4.15,0,0,0,0,50,3,0,41,50,4.1100585417775415,0,3,9.9,2,Stable
9,9,0,4.03,0,0,0,0,5,3,0,60,50,4.22940902745463,0,3,9.9,58,Stable
5.65,5,0,4.29,1,0,1,0,50,2,0,43,50,4.017487726839753,0,2,6.215000000000001,60,Hot
1.74,2,1,4.25,0,0,0,0,50,1,0,41,50,3.831513948616165,0,1,1.914,46,Slow
5.65,6,0,4.06,0,0,0,0,50,2,0,54,50,4.060278646573784,0,6,6.215000000000001,60,Stable
14,76,0,4.06,0,0,0,0,50,4,0,36,50,3.9682688002491777,1,2,15.400000000000002,58,Slow
5.65,6,1,4.37,1,0,1,0,10,2,0,38,50,4.065905390637197,0,8,6.215000000000001,4,Stable
8,7,0,3.81,0,0,0,0,4,2,0,46,50,3.8708092485549135,0,2,8.8,3,Stable
2.66,3,0,3.44,0,0,0,0,50,1,0,22,50,4.3063628061882255,0,3,2.9260000000000006,4,Stable
9,8,0,3.8,0,0,0,0,50,3,0,45,50,3.8675471698113206,0,2,9.9,69,Hot
11,10,0,4.16,1,0,1,0,50,3,0,31,50,4.000143410296859,0,2,12.1,60,Stable
8,17,1,2.75,0,0,0,0,50,3,0,40,50,4.025364206665138,0,2,8.8,11,Slow
14,12,1,4.06,0,0,0,0,2,3,0,43,50,4.006692220293909,0,8,15.400000000000002,39,Stable
5.8,8,1,3.83,0,0,0,0,1,1,0,43,50,3.920852995639448,0,1,6.38,2,Slow
13,13,0,4.16,1,0,1,0,50,3,0,41,50,3.981336637497096,1,2,14.3,46,Stable
9,81,0,4.26,1,0,1,0,50,3,0,40,50,4.105054224804892,0,4,9.9,4,Hot
7,68,0,1.5,0,0,0,0,50,2,0,43,50,3.858942065491184,0,2,7.700000000000001,60,Slow
12,14,1,3.79,0,0,0,0,50,3,0,22,50,4.020408163265306,0,2,13.2,4,Slow
3.69,40,0,3.53,0,0,0,0,2,1,0,24,50,4.3648438215627,0,1,4.059,25,Slow
5,5,1,3.82,1,1,0,0,50,1,0,63,50,4.151395305858436,0,8,5.5,60,Hot
5.84,56,0,3.28,0,0,0,0,50,1,0,43,50,4.017487726839753,0,2,6.424,2,Slow
16,14,0,3,0,0,0,0,2,4,0,34,50,3.548387096774193,0,8,17.6,24,Slow
13,50,0,4.03,0,0,0,0,50,3,0,32,50,4.085704903677758,1,2,14.3,54,Stable
9,8,0,3.18,0,0,0,0,50,3,0,24,50,3.908535421042582,0,2,9.9,60,Hot
7,6,0,3.8,0,0,0,0,50,2,0,45,50,4.216385997836785,0,2,7.700000000000001,4,Slow
11,20,0,3.43,0,0,0,0,50,2,0,34,50,4.174679487179487,0,2,12.1,60,Slow
5.84,11,0,4.19,0,0,0,0,1,1,0,40,50,4.172785968969837,0,8,6.424,11,Stable
1,11,1,3.8,0,0,0,0,37,1,0,41,50,3.858118823959985,0,8,1.1,11,Stable
11,60,1,3.38,0,0,0,0,49,2,0,25,50,3.9601706970128014,0,2,12.1,60,Stable
9,8,1,4.03,0,0,0,0,50,3,0,33,50,4.108849060138637,0,4,9.9,12,Stable
6,56,1,3.5,0,0,0,0,1,2,0,28,50,3.876699977458863,0,8,6.6000000000000005,53,Stable
1,10,0,3.56,0,0,0,0,2,1,0,40,50,3.83793694273772,1,8,1.1,60,Slow
9,8,0,4.06,0,0,0,0,50,3,0,41,50,3.9993714037038814,1,2,9.9,43,Stable
6,6,0,4,0,0,0,0,5,2,0,23,50,3.874015748031496,0,1,6.6000000000000005,62,Slow
11,68,0,4.13,0,0,0,0,50,2,0,40,50,4.2152280762266106,0,3,12.1,53,Stable
7,6,0,4,0,0,0,0,50,2,0,139,50,4.352941176470588,0,1,7.700000000000001,11,Slow
5,38,1,5,0,0,0,0,17,1,0,33,50,3.6666666666666665,0,1,5.5,3,Slow
5.87,11,1,3.91,0,0,0,0,6,1,0,29,50,4.391304347826087,0,2,6.457000000000001,60,Stable
11,10,0,3.72,0,0,0,0,50,2,0,25,50,4.268002261895145,1,3,12.1,60,Stable
8,10,0,2.71,0,0,0,0,4,3,0,20,50,3.892857142857143,0,1,8.8,53,Slow
14,67,0,3.81,0,0,0,0,50,4,0,40,50,4.150756302521009,1,3,15.400000000000002,11,Stable
2,9,0,3.47,0,0,0,0,1,1,0,40,50,4.167627677100494,0,8,2.2,60,Slow
8,7,1,3.93,0,0,0,0,50,3,0,30,50,4.137581777804454,1,3,8.8,69,Hot
5.79,30,1,3.41,0,0,0,0,50,2,0,118,50,4.189843898724538,1,1,6.369000000000001,60,Stable
8,22,1,3.74,0,0,0,0,50,3,0,41,50,3.876761607336984,0,2,8.8,67,Slow
4.94,5,1,3.93,0,0,0,0,6,1,0,49,50,4.1214837434884135,1,3,5.434000000000001,6,Hot
8,7,0,3.82,0,0,0,0,50,3,0,14,50,3.872009976193176,0,3,8.8,43,Hot
11,10,1,3.46,0,0,0,0,50,3,0,41,50,4.301120485454981,0,2,12.1,4,Slow
8,33,0,5,0,0,0,0,50,2,0,25,50,4.169786096256685,0,2,8.8,4,Slow
9,33,1,4.5,0,0,0,0,50,3,0,41,50,4.120281052756937,0,2,9.9,60,Slow
7,6,0,4.26,0,0,0,0,50,2,0,31,50,3.837956204379562,1,2,7.700000000000001,2,Slow
11,10,0,4.24,0,0,0,0,50,3,0,36,50,4.289673913043479,0,2,12.1,52,Hot
8,92,0,3.56,0,0,0,0,50,2,0,55,50,3.968061051441493,0,2,8.8,69,Slow
5.83,5,1,4.22,0,0,0,0,1,1,0,35,50,4.14695734747171,1,2,6.413,64,Hot
8,7,0,3.42,0,0,0,0,50,2,0,63,50,3.965204236006052,0,2,8.8,46,Stable
5.77,5,1,4,0,0,0,0,45,1,0,31,50,3.915740329035127,0,2,6.347,2,Slow
5.9,5,0,3.64,0,0,0,0,4,1,0,30,50,3.951817413355875,0,8,6.490000000000001,25,Hot
6,20,0,3.08,0,0,0,0,50,2,0,43,50,3.931195965417868,0,2,6.6000000000000005,53,Slow
7,6,1,4.41,1,0,1,0,2,2,0,35,50,4.14695734747171,1,3,7.700000000000001,24,Hot
8,7,1,3.7,0,0,0,0,1,2,0,48,50,3.9375299186213497,0,3,8.8,46,Hot
12,11,0,3.81,0,0,0,0,50,3,0,13,50,4.150355871886121,0,2,13.2,6,Stable
5.78,8,1,4,0,0,0,0,50,1,0,29,50,4.184134248665141,0,1,6.3580000000000005,46,Hot
12,17,0,3.94,0,0,0,0,50,3,0,43,50,3.978260869565217,0,2,13.2,60,Stable
11,10,1,4.07,0,0,0,0,50,2,0,35,50,3.965700632033297,0,4,12.1,37,Hot
8,51,0,4.29,1,0,1,0,50,2,0,43,50,3.832535066712282,0,2,8.8,46,Slow
5.77,48,0,4.1,0,0,0,0,50,2,0,46,50,4.06734764909732,1,1,6.347,4,Hot
9,8,0,3.7,0,0,0,0,44,3,0,20,50,4.064643129286258,0,3,9.9,25,Hot
1.72,2,1,3.77,0,0,0,0,10,1,0,48,50,3.884543645859239,0,1,1.892,21,Slow
1.86,9,1,3.57,0,0,0,0,2,1,0,40,50,3.9430187637969096,0,1,2.0460000000000003,46,Slow
14,92,1,4.54,0,0,0,0,50,3,0,36,50,4.185185185185185,0,1,15.400000000000002,4,Slow
3.69,4,0,3.64,0,0,0,0,5,1,0,24,50,4.039127645926876,0,1,4.059,53,Stable
11,30,1,4.11,2,1,0,1,2,3,0,45,50,4.210460119484331,0,8,12.1,44,Slow
9,8,1,3.18,0,0,0,0,10,3,0,26,50,3.7291666666666665,0,8,9.9,53,Slow
6,8,0,3.96,0,0,0,0,50,2,0,43,50,3.80168428005284,1,4,6.6000000000000005,4,Hot
20,17,1,2.8,0,0,0,0,50,6,0,36,50,3.298507462686567,0,8,22,24,Slow
5.66,5,0,3.89,0,0,0,0,50,2,0,42,50,4.285597735765438,0,2,6.226000000000001,4,Stable
8,65,0,3.97,0,0,0,0,1,2,0,33,50,3.882845188284519,0,2,8.8,60,Slow
8,7,1,3.61,0,0,0,0,10,2,0,39,50,4.098557218830018,0,8,8.8,35,Stable
6,6,1,3.82,0,0,0,0,1,2,0,35,50,3.844776119402985,0,2,6.6000000000000005,25,Stable
