price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,product_color,product_variation_size_id,product_variation_inventory,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,merchant_rating_count,merchant_rating,merchant_has_profile_picture,size_encoded,price_converted,color_white,color_green,color_multicolor,color_black,color_yellow,color_navyblue,color_blue,color_beige,color_grey,color_lightblue,color_orange,color_red,color_armygreen,color_unknown,color_pink,color_red  blue,color_blue  pink,color_white  green,color_winered,color_black  green,color_purple,color_whitefloral,color_fluorescentgreen,color_orange  camouflage,color_lightyellow,color_coolblack,color_lightpink,color_pink  black,color_army green,color_lightgreen,color_mintgreen,color_pink  grey,color_gray,color_brown,color_light green,color_black  white,color_orangered,color_dustypink,color_white  black,color_skyblue,color_pink  white,color_rosered,color_navy blue,color_wine red,color_lightred,color_coralred,color_lakeblue,color_darkblue,color_pink  blue,color_lightpurple,color_black  stripe,color_rose red,color_greysnakeskinprint,color_denimblue,color_applegreen,color_offwhite,color_gray  white,color_brown  yellow,color_winered  yellow,color_whitestripe,color_lightgrey,color_watermelonred,color_prussianblue,color_navyblue  white,color_white  red,color_black  yellow,color_offblack,color_black  blue,color_blackwhite,color_darkgreen,performance_category,units_sold_categories
3.81,4,1000,0,3.48,101,41.0,13.0,18.0,11.0,18.0,0,0,0,0,black,XS,1,1,0,37,50,1012,3.983201581027668,0,1,4.191000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium Performance,Stable
8.0,7,20000,0,3.68,2015,911.0,340.0,279.0,169.0,316.0,0,0,0,0,orange,S,50,3,0,24,50,3771,3.881463802704853,0,2,8.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High Performance,Hot
8.0,38,1000,0,4.14,196,113.0,35.0,25.0,8.0,15.0,0,0,0,0,black,M,50,3,0,39,50,6275,4.383107569721116,0,3,8.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium Performance,Stable
11.0,10,5000,1,4.26,1273,735.0,295.0,134.0,55.0,54.0,1,0,1,0,multicolor,XS,50,2,0,38,50,67171,4.1023209420732165,0,1,12.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium Performance,Stable
7.0,6,5000,0,3.29,1042,384.0,146.0,158.0,98.0,256.0,0,0,0,0,grey,S,4,2,0,46,50,3460,3.8708092485549135,0,2,7.700000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium Performance,Stable
13.0,25,100,1,3.42,79,29.0,16.0,10.0,7.0,17.0,0,0,0,0,rosered,S,50,3,0,41,50,27764,3.9504034000864414,1,2,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Performance,Slow
3.0,3,20000,1,4.12,2826,1573.0,546.0,374.0,147.0,186.0,0,0,0,0,purple,S,6,1,0,49,50,55670,4.1214837434884135,1,2,3.3000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High Performance,Hot
7.0,6,100,0,5.0,2,2.0,0.0,0.0,0.0,0.0,0,0,0,0,black,S,50,2,0,41,50,9703,3.9707307018447904,0,2,7.700000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Performance,Slow
3.94,8,100,0,3.9,21,10.0,5.0,2.0,2.0,2.0,0,0,0,0,armygreen,Other,1,1,0,39,50,189,4.068783068783069,0,8,4.3340000000000005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Performance,Slow
12.0,11,100,0,3.97,37,23.0,4.0,1.0,4.0,5.0,0,0,0,0,white,S,50,3,0,42,50,1452,3.7355371900826446,0,2,13.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Performance,Slow
